Gene_name,geneID,Rep. 1,Rep. 2,Avg. Expression,Rep. A,Rep. B,Avg. Expression,Foldchange,qvalue
Zfp85-rs1,NM_001001130,45,40,34,30,42.5,32,-1.328125,0.589377341
Scap,NM_001001144,709,569,212,194,639,203,-3.147783251,1.61E-13
Zfp458,NM_001001152,86,59,70,74,72.5,72,-1.006944444,0.00097441
Fbxo41,NM_001001160,0,0,0,0,0,0,0,1
Taf9b,NM_001001176,2,1,3,1,1.5,2,1.333333333,0.892478778
BC051142,NM_001001177,0,0,0,0,0,0,0,1
Ccdc148,NM_001001178,4,1,1,0,2.5,0.5,-5,0.756647998
BC048546,NM_001001179,0,0,0,0,0,0,0,1
Zfp941,NM_001001180,0,0,0,0,0,0,0,1
BC031181,NM_001001181,714,495,412,403,604.5,407.5,-1.483435583,0.374532706
Baz2b,NM_001001182,1825,1178,1086,995,1501.5,1040.5,-1.443056223,0.10991669
Tmem204,NM_001001183,14,7,0,1,10.5,0.5,-21,0.002692778
Ccdc111,NM_001001184,659,411,354,406,535,380,-1.407894737,0.087613797
BC048507,NM_001001185,0,0,0,0,0,0,0,1
Zfp456,NM_001001186,143,94,105,136,118.5,120.5,1.016877637,1.58E-05
Zfp738,NM_001001187,285,207,155,157,246,156,-1.576923077,1
Dis3l,NM_001001295,310,220,74,102,265,88,-3.011363636,1.12E-07
Thnsl1,NM_001001297,175,133,45,45,154,45,-3.422222222,2.19E-07
Itga8,NM_001001309,23,15,16,12,19,14,-1.357142857,1
Pramel4,NM_001001319,0,0,0,0,0,0,0,1
Tbx10,NM_001001320,0,0,0,0,0,0,0,1
Slc35d2,NM_001001321,69,50,33,41,59.5,37,-1.608108108,1
Adamts13,NM_001001322,1,0,1,1,0.5,1,2,1
St5,NM_001001326,72,52,13,8,62,10.5,-5.904761905,3.87E-08
Vkorc1l1,NM_001001327,362,211,120,90,286.5,105,-2.728571429,8.21E-06
BC117090,NM_001001332,0,0,0,0,0,0,0,1
